x,y,w,c
-3.348748266929144179e+00,3.257251170827831999e+00,2.240000000000000213e+00,1.011726185935623301e-01
-3.537179144909101680e+00,3.243951881559293149e+00,2.240000000000000213e+00,6.076152200466569675e-02
-3.725833098159452739e+00,3.228456673211720585e+00,2.120000000000000107e+00,2.053117628589791813e-02
-3.914971635550487328e+00,3.212180337691096010e+00,2.080000000000000071e+00,-1.918860792975823210e-02
-4.104856265952494532e+00,3.196537666903402908e+00,2.000000000000000000e+00,-5.813217761725032739e-02
-4.295748498235755441e+00,3.182943452754622093e+00,1.919999999999999929e+00,-9.600133294095494763e-02
-4.487909841270549371e+00,3.172812487150737493e+00,1.840000000000000080e+00,-1.323809992450208084e-01
-4.681601803927168071e+00,3.167559561997730810e+00,1.839999999999999858e+00,-1.666765316021438237e-01
-4.877085895075897959e+00,3.168599469201584196e+00,1.879999999999999893e+00,-1.980852256498389363e-01
-5.074623623587022792e+00,3.177347000668280685e+00,1.839999999999999858e+00,-2.256174279791494652e-01
-5.274476498330820995e+00,3.195216948303801985e+00,1.799999999999999822e+00,-2.456089319718256225e-01
-5.476866312909985268e+00,3.223509792527841533e+00,1.679999999999999938e+00,-1.662535603506441750e-01
-5.680477854245798319e+00,3.259102084907976149e+00,8.399999999999999689e-01,2.801397260716599266e-02
-5.882003279849239874e+00,3.293135040369246980e+00,8.399999999999999689e-01,2.455450424898253103e-01
-6.078001977720529858e+00,3.316367726591352927e+00,8.399999999999999689e-01,5.257847281529201000e-01
-6.265033335859889974e+00,3.319559211253995556e+00,8.800000000000000044e-01,9.140426027286697730e-01
-6.439656742267545475e+00,3.293468562036873326e+00,1.000000000000000000e+00,1.334966988250441133e+00
-6.598464689425440177e+00,3.230455346350685542e+00,1.239999999999999991e+00,1.382807184750381113e+00
-6.738248815825935267e+00,3.132507227846990983e+00,1.439999999999999947e+00,1.254325894178992984e+00
-6.855874874504770844e+00,3.005195080079289927e+00,2.759999999999999787e+00,1.135434217461666506e+00
-6.948208743116221164e+00,2.854095801523372611e+00,2.640000000000000124e+00,1.055515350066110969e+00
-7.012116299314550716e+00,2.684786290655034158e+00,2.560000000000000053e+00,1.018585620425961125e+00
-7.044463420754029315e+00,2.502843445950074130e+00,2.560000000000000053e+00,9.300048367924983461e-01
-7.045023078914823600e+00,2.313338387235528870e+00,2.679999999999999716e+00,2.822470105640971783e-01
-7.034948722001895582e+00,2.117622440869342260e+00,2.879999999999999893e+00,-5.061325351935420658e-01
-7.044910671889209830e+00,1.915390112654914434e+00,1.479999999999999982e+00,-8.083424575626895203e-01
-7.090308972524859144e+00,1.708341175327109163e+00,1.479999999999999982e+00,-2.183328046267917488e-01
-7.145235500657952876e+00,1.503604999420145694e+00,1.439999999999999947e+00,4.918914232452378243e-01
-7.176927462607684660e+00,1.309209591673185846e+00,1.439999999999999947e+00,1.280681752391004791e+00
-7.163260729556628625e+00,1.131165616298033472e+00,4.400000000000000355e+00,1.518039087745291615e+00
-7.106957606163061492e+00,9.707722659498998485e-01,3.680000000000000160e+00,1.431979368499405991e+00
-7.014281354250782918e+00,8.286572840401847939e-01,3.799999999999999822e+00,1.208410085151119251e+00
-6.891495235643595230e+00,7.054484139802905673e-01,3.959999999999999964e+00,9.769946380357048543e-01
-6.744862512165298973e+00,6.017733991816242023e-01,3.799999999999999822e+00,8.002796297538372627e-01
-6.580646445639699138e+00,5.182599830555911780e-01,3.759999999999999787e+00,6.868456370422059143e-01
-6.404932568537927473e+00,4.554039134577198555e-01,1.679999999999999938e+00,5.923848230115514868e-01
-6.221398564794694330e+00,4.119126837922701401e-01,1.640000000000000124e+00,4.883552038581943644e-01
-6.031989311992860259e+00,3.852068715196578230e-01,1.600000000000000089e+00,3.919469659024020780e-01
-5.838611564247250918e+00,3.726787406659692325e-01,3.440000000000000391e+00,3.074631547782790131e-01
-5.643172075672687527e+00,3.717205552572899196e-01,3.320000000000000284e+00,2.342606301525591850e-01
-5.447577600383987750e+00,3.797245793197067676e-01,3.240000000000000213e+00,1.718020092667996157e-01
-5.253562464107656815e+00,3.941897739299588532e-01,3.080000000000000071e+00,1.331173423812010148e-01
-5.061412125688283581e+00,4.135116452441056634e-01,3.040000000000000036e+00,1.033743338973114184e-01
-4.870687473021245495e+00,4.365340570466731962e-01,2.879999999999999893e+00,7.209243906257299661e-02
-4.680944017009928793e+00,4.621042003538087251e-01,2.879999999999999893e+00,3.977526473026987003e-02
-4.491737268557728591e+00,4.890692661816585796e-01,2.839999999999999858e+00,6.927129937105102470e-03
-4.302622824840134363e+00,5.162766416577974082e-01,2.839999999999999858e+00,-2.005370014984384289e-02
-4.113247488898994497e+00,5.427810406646125241e-01,2.839999999999999858e+00,-2.965446820112251428e-02
-3.923522271111341553e+00,5.682377661867320517e-01,2.919999999999999929e+00,-3.609351514305962627e-02
-3.733405748439689642e+00,5.924102483084686677e-01,2.879999999999999893e+00,-4.248207273649514532e-02
-3.542856497846558650e+00,6.150619171141360475e-01,2.959999999999999964e+00,-4.881046840984955282e-02
-3.351833096294457803e+00,6.359562026880485330e-01,2.799999999999999822e+00,-5.506633226147878563e-02
-3.160294120745896329e+00,6.548565351145205771e-01,2.520000000000000018e+00,-6.123429948849601345e-02
-2.968198148163391892e+00,6.715263444778651891e-01,2.360000000000000320e+00,-6.729577537133679677e-02
-2.775503755509462600e+00,6.857290608623961559e-01,2.240000000000000213e+00,-7.322878014065986596e-02
-2.582169519746617681e+00,6.972281143524277081e-01,2.200000000000000178e+00,-7.900789320948076178e-02
-2.388154017837367249e+00,7.057869350322740765e-01,2.160000000000000142e+00,-8.460431746523493224e-02
-2.193415826744228081e+00,7.111689529862486037e-01,2.160000000000000142e+00,-8.977914032961265001e-02
-1.997918970123855331e+00,7.131454856821544119e-01,2.200000000000000178e+00,-9.025588539953438572e-02
-1.801747352617125264e+00,7.116614508069265543e-01,2.200000000000000178e+00,-8.651340768396659220e-02
-1.605101838154950222e+00,7.068311353474767689e-01,2.160000000000000142e+00,-8.292418376174573447e-02
-1.408188152912029256e+00,6.987758673288851918e-01,2.160000000000000142e+00,-7.965351068605421025e-02
-1.211212023063062082e+00,6.876169747762324036e-01,2.160000000000000142e+00,-7.668224119852566634e-02
-1.014379174782740645e+00,6.734757857145982074e-01,2.120000000000000107e+00,-7.399315987326222921e-02
-8.178953342457558895e-01,6.564736281690622954e-01,2.200000000000000178e+00,-7.157102082420464806e-02
-6.219662276268083101e-01,6.367318301647054701e-01,2.160000000000000142e+00,-6.940257220919138215e-02
-4.267975811005964015e-01,6.143717197266076457e-01,2.240000000000000213e+00,-6.747657894494443753e-02
-2.325951208418121363e-01,5.895146248798491806e-01,2.160000000000000142e+00,-6.578385353789482914e-02
-3.956457302514716778e-02,5.622818736495093228e-01,2.200000000000000178e+00,-6.431928413241561060e-02
1.520889668680223128e-01,5.327946174237030430e-01,2.120000000000000107e+00,-6.331579423974115217e-02
3.422450545432300650e-01,5.011502995089258672e-01,2.120000000000000107e+00,-6.285481799409693704e-02
5.309523376136294770e-01,4.673990059932645602e-01,2.080000000000000071e+00,-6.233951128382530377e-02
7.182795617493674678e-01,4.315851941438402783e-01,2.040000000000000036e+00,-6.170032960733250887e-02
9.042954726205856275e-01,3.937533212277756212e-01,2.040000000000000036e+00,-6.093877223985601915e-02
1.089068815897422660e+00,3.539478445121932992e-01,2.000000000000000000e+00,-6.005707996595049947e-02
1.272668337250027371e+00,3.122132212642145799e-01,2.000000000000000000e+00,-5.905820382117310530e-02
1.455162782348547346e+00,2.685939087509602308e-01,2.040000000000000036e+00,-5.794576499422710719e-02
1.636620896863122843e+00,2.231343642395532123e-01,2.160000000000000142e+00,-5.672400695673269350e-02
1.817111426463894119e+00,1.758790449971162906e-01,2.240000000000000213e+00,-5.539774103231594887e-02
1.996703116821008539e+00,1.268724082907705109e-01,2.280000000000000249e+00,-5.397228671751459067e-02
2.175464713604614797e+00,7.615891138763672408e-02,2.360000000000000320e+00,-5.245340812001150765e-02
2.353464962484852929e+00,2.378301155483773799e-02,2.400000000000000355e+00,-5.084724788788964195e-02
2.530772609131862527e+00,-3.021083394050332049e-02,2.480000000000000426e+00,-4.916025996966780914e-02
2.707456399215791176e+00,-8.577816783126565592e-02,2.520000000000000462e+00,-4.739914247274098352e-02
2.883585078406788682e+00,-1.428745328503285561e-01,2.520000000000000018e+00,-4.557077178488708191e-02
3.059227392374991972e+00,-2.014554717305688802e-01,2.600000000000000089e+00,-4.368213899453425586e-02
3.234452086790544634e+00,-2.614765272048635847e-01,2.600000000000000089e+00,-4.174028950096417973e-02
3.409327907323593365e+00,-3.228932420060919850e-01,2.680000000000000160e+00,-3.975226654656863201e-02
3.583923599644283975e+00,-3.856611588671333135e-01,2.640000000000000124e+00,-3.772505924480705486e-02
3.758307909422759163e+00,-4.497358205208646376e-01,2.520000000000000018e+00,-3.566555551695116399e-02
3.932549582329159854e+00,-5.150727697001626915e-01,2.680000000000000160e+00,-3.358050019904833261e-02
4.106717364033632300e+00,-5.816275491379065965e-01,2.600000000000000089e+00,-3.147645844017721295e-02
4.280880000206322755e+00,-6.493557015669760846e-01,2.479999999999999982e+00,-2.935978438588935854e-02
4.455106236517373475e+00,-7.182127697202477234e-01,2.400000000000000355e+00,-2.417494755258264155e-02
4.629490747224545899e+00,-7.880484097238491525e-01,2.360000000000000320e+00,2.541801117605107380e-02
4.804506325848261206e+00,-8.571681224165994539e-01,2.280000000000000249e+00,1.084312379116218056e-01
4.980911886326857996e+00,-9.227089562473143047e-01,2.240000000000000213e+00,1.927397491518580974e-01
5.159473421924164249e+00,-9.817790492681033321e-01,2.080000000000000071e+00,2.773141431745640428e-01
5.340956925904008834e+00,-1.031486539531075497e+00,1.840000000000000080e+00,3.597804667241953358e-01
5.526128391530226835e+00,-1.068939565088340204e+00,1.640000000000000124e+00,4.318155059444368504e-01
5.715715328922187588e+00,-1.091352447468540321e+00,1.479999999999999982e+00,4.219292319129542834e-01
5.909536426721945901e+00,-1.098447146943738684e+00,1.679999999999999938e+00,3.421178362141048535e-01
6.106488181877010035e+00,-1.092490153905286920e+00,1.760000000000000009e+00,2.681579911120732795e-01
6.305425933968196617e+00,-1.075861520989576325e+00,1.919999999999999929e+00,2.031028902381233070e-01
6.505205022576319607e+00,-1.050941300832997971e+00,2.120000000000000107e+00,1.451376267553860511e-01
6.704680787282190302e+00,-1.020109546071942708e+00,2.320000000000000284e+00,1.092519515398250318e-01
6.902397223823989236e+00,-9.850816482104931548e-01,2.480000000000000426e+00,1.936271440668661525e-01
7.094887200366922109e+00,-9.432796158531950859e-01,2.640000000000000124e+00,3.479387685870207192e-01
7.277884321470621920e+00,-8.904191786283055521e-01,2.839999999999999858e+00,5.474620607408918760e-01
7.447120157680932273e+00,-8.222117239233590613e-01,3.040000000000000036e+00,8.044251819426485595e-01
7.598326279543694106e+00,-7.343686391258908985e-01,3.040000000000000036e+00,1.096246526196229309e+00
7.727234257604747469e+00,-6.226013116234354605e-01,2.919999999999999929e+00,1.309907665277716182e+00
7.829824341531517184e+00,-4.829463026551924498e-01,2.839999999999999858e+00,1.140108465024988194e+00
7.906356286796022204e+00,-3.170360730148858996e-01,2.759999999999999787e+00,7.878995277860504354e-01
7.960695502912224164e+00,-1.312178516887350654e-01,2.679999999999999716e+00,5.318009784978759980e-01
7.996820066755240930e+00,6.801380802791497093e-02,2.520000000000000462e+00,3.595260555606190622e-01
8.018708055200173490e+00,2.741643528397191276e-01,2.479999999999999982e+00,2.393291340950884638e-01
8.030337545122138820e+00,4.807392294513322950e-01,2.320000000000000284e+00,1.460207469715812389e-01
8.035651983192135361e+00,6.814639156460454705e-01,2.240000000000000213e+00,7.782179103781795837e-02
8.037804786701251203e+00,8.750835251311237517e-01,2.280000000000000249e+00,2.073323518161616918e-02
8.039162918796046498e+00,1.065340091445979187e+00,2.240000000000000213e+00,-4.217631050488753613e-02
8.042059427470649169e+00,1.256191135960994298e+00,2.399999999999999911e+00,-1.006487709411670595e-01
8.048827360719197799e+00,1.451594180046551052e+00,2.679999999999999716e+00,-1.445481243088769518e-01
8.061799200457539172e+00,1.655506172171376189e+00,1.199999999999999956e+00,-5.618799233638997054e-02
8.077673684460739523e+00,1.866182408797466996e+00,1.199999999999999956e+00,4.697478312932563127e-01
8.073673415517150787e+00,2.062167290514532958e+00,3.520000000000000462e+00,1.657317793459493593e+00
8.022862867162997347e+00,2.217792376602078619e+00,3.160000000000000142e+00,3.477092743733528835e+00
7.911224068058190895e+00,2.319216294108967791e+00,3.080000000000000071e+00,2.343608986195696353e+00
7.755091276883709028e+00,2.380387594568484033e+00,1.120000000000000107e+00,9.168360562912089007e-01
7.575152927798895597e+00,2.419241469319690196e+00,1.080000000000000071e+00,2.620398667789683445e-01
7.388034865494265802e+00,2.450151207648818996e+00,1.000000000000000000e+00,1.570110163580334950e-01
7.197070648448622876e+00,2.475835999428974254e+00,2.439999999999999947e+00,1.391824176602491914e-01
7.002879596982893418e+00,2.496635308365844352e+00,2.200000000000000178e+00,1.237439290390183744e-01
6.806081031418009353e+00,2.512888598165123888e+00,2.040000000000000036e+00,1.103119514091062819e-01
6.607294272074904384e+00,2.524935332532505683e+00,1.879999999999999893e+00,9.855457531038012975e-02
6.407138639274504222e+00,2.533114975173679007e+00,1.720000000000000195e+00,8.818571163474173136e-02
6.206233453337740791e+00,2.537766989794337125e+00,1.640000000000000124e+00,7.895796938951822608e-02
6.005198034585546019e+00,2.539230840100172415e+00,1.560000000000000053e+00,7.065520653086226899e-02
5.804651703338847391e+00,2.537845989796875923e+00,1.560000000000000053e+00,6.308512233331407815e-02
5.605213779918575945e+00,2.533951902590140026e+00,1.640000000000000124e+00,5.607190806642769337e-02
5.407503584645663608e+00,2.527888042185657547e+00,1.840000000000000080e+00,1.043365592043256490e-01
5.213464671674369555e+00,2.517960967750954904e+00,2.000000000000000000e+00,5.205780221956881615e-01
5.032655485424995412e+00,2.490787199587457312e+00,2.160000000000000142e+00,1.328982995454707661e+00
4.877350479133945704e+00,2.428813654151694923e+00,2.440000000000000391e+00,2.039146536749683492e+00
4.753657254596726389e+00,2.322752943702916184e+00,2.320000000000000284e+00,1.054322670036759391e+00
4.646240264011440857e+00,2.192061127851949731e+00,1.800000000000000044e+00,-1.222054826248152454e-01
4.535108805451077529e+00,2.062434262666341667e+00,1.799999999999999822e+00,-1.214457628482386031e+00
4.400936511193596523e+00,1.958887629386536045e+00,1.920000000000000151e+00,-1.576431709661956893e+00
4.238287616314554640e+00,1.892202148524317895e+00,1.840000000000000080e+00,-1.189956422826415450e+00
4.054886449943437832e+00,1.859672966884156953e+00,1.680000000000000160e+00,-8.802182520693604406e-01
3.858975439983678424e+00,1.858064310838278388e+00,1.560000000000000053e+00,-6.951490879348356522e-01
3.658797014338708298e+00,1.884140406758906261e+00,1.600000000000000089e+00,-6.076355014446992442e-01
3.462593600911962000e+00,1.934665481018266853e+00,1.679999999999999938e+00,-5.952584441983308494e-01
3.278290907609916260e+00,2.006332386594483097e+00,1.879999999999999893e+00,-5.451754451062097440e-01
3.107715244541742639e+00,2.094459466719054141e+00,2.200000000000000178e+00,-3.906691055950233804e-01
2.947187248249448999e+00,2.193124351649627712e+00,2.360000000000000320e+00,-2.052249335344948911e-01
2.792829970666705464e+00,2.296360145613746795e+00,2.480000000000000426e+00,-3.402355429288998583e-03
2.640766463727186597e+00,2.398199952838954374e+00,2.479999999999999982e+00,2.136655494584647486e-01
2.487119779364564742e+00,2.492676877552793879e+00,2.439999999999999947e+00,4.444659182455143465e-01
2.328012969512513131e+00,2.573824023982808740e+00,2.359999999999999876e+00,6.244362284153255338e-01
2.160311225455759487e+00,2.636986392644190769e+00,2.360000000000000320e+00,5.506918727126379753e-01
1.984513605995839924e+00,2.683932652731509272e+00,2.320000000000000284e+00,4.037605281898096199e-01
1.802229636859311368e+00,2.718394470596699364e+00,2.320000000000000284e+00,2.689996503780386905e-01
1.615069121670696495e+00,2.744104003838130357e+00,2.240000000000000213e+00,1.487251808346413129e-01
1.424641864054517759e+00,2.764793410054171563e+00,2.280000000000000249e+00,3.930901582934008542e-02
1.232557667635298282e+00,2.784194846843191851e+00,2.160000000000000142e+00,-4.875025938599766157e-02
1.040197034438783197e+00,2.805457131964161910e+00,2.160000000000000142e+00,-6.128757943647865358e-02
8.478787661252479291e-01,2.829028133317926130e+00,2.000000000000000000e+00,-5.232583858838216889e-02
6.556146001286076164e-01,2.854574552003853238e+00,1.959999999999999964e+00,-4.344843038285810255e-02
4.634162431228274759e-01,2.881763010868458874e+00,1.839999999999999858e+00,-3.464815429852084044e-02
2.712954017818736130e-01,2.910260132758259122e+00,1.760000000000000009e+00,-2.591022505072404156e-02
7.926378277971118935e-02,2.939732540519769621e+00,1.760000000000000009e+00,-1.721562696712492652e-02
-1.126669072096940782e-01,2.969846856999507345e+00,1.800000000000000044e+00,-8.542206629342234681e-03
-3.044849615123766395e-01,3.000269705043988377e+00,1.919999999999999929e+00,1.343132221067764654e-04
-4.961786734543710553e-01,3.030667707499728802e+00,1.919999999999999929e+00,8.839370589025239214e-03
-6.877363363617114977e-01,3.060707487213243816e+00,2.000000000000000000e+00,1.759861925000957145e-02
-8.791462435604324721e-01,3.090055667031051723e+00,2.080000000000000071e+00,2.643696650567872036e-02
-1.070396688376568317e+00,3.118378869799666386e+00,2.040000000000000036e+00,3.537755722129175273e-02
-1.261475964136153927e+00,3.145343718365605667e+00,2.000000000000000000e+00,4.444066861472056873e-02
-1.452372364165223306e+00,3.170616835575383874e+00,2.040000000000000036e+00,5.364248334396964218e-02
-1.643074181789810684e+00,3.193864844275518422e+00,2.040000000000000036e+00,6.299371456463195851e-02
-1.833569710335950731e+00,3.214754367312524952e+00,2.040000000000000036e+00,7.249806678631307011e-02
-2.023847243129678564e+00,3.232952027532920436e+00,2.040000000000000036e+00,8.215053188446243271e-02
-2.213895073497027077e+00,3.248124447783220958e+00,2.080000000000000071e+00,9.193554190634620205e-02
-2.403701494764031832e+00,3.259938250909941271e+00,2.080000000000000071e+00,1.018250305955229890e-01
-2.593254800256726167e+00,3.268060059759598346e+00,2.120000000000000107e+00,1.117764944679892902e-01
-2.782543283301146086e+00,3.272156497178709156e+00,2.160000000000000142e+00,1.217311911944161940e-01
-2.971555237223325374e+00,3.271894186013788897e+00,2.200000000000000178e+00,1.316126653224964915e-01
-3.160278955349298258e+00,3.266939749111353652e+00,2.240000000000000213e+00,1.330754504672365113e-01
